time_s,target_azimuth_deg,target_elevation_deg,huskylens_x_center_px,huskylens_y_center_px,pixel_error_x_px,pixel_error_y_px,azimuth_direction_error_deg,elevation_direction_error_deg,filtered_azimuth_error_deg,filtered_elevation_error_deg,commanded_azimuth_deg,commanded_elevation_deg,azimuth_deg,elevation_deg,azimuth_speed_dps,elevation_speed_dps,boresight_error_deg,locked,camera_detected,human_detected,laser_enabled
0.97000,119.92252,29.95249,159.58434,118.99143,-0.41566,-1.00857,-0.07132,-0.17620,0.04620,-0.10099,120.04016,30.02800,119.99396,30.11889,0.00000,-1.00988,0.10196,true,true,false,true
0.98000,119.97996,30.05022,159.91854,119.60760,-0.08146,-0.39240,-0.01399,-0.06863,0.03343,-0.09412,120.02739,30.02477,119.99396,30.10948,0.00000,-0.94122,0.09107,true,true,false,true
0.99000,119.93966,30.10476,159.68407,119.97304,-0.31593,-0.02696,-0.05428,-0.00472,0.01482,-0.07515,120.00878,30.03433,119.99396,30.10948,0.00000,0.00000,0.07660,true,true,false,true
1.00000,119.92462,30.06961,159.59656,119.77218,-0.40344,-0.22782,-0.06931,-0.03985,-0.00303,-0.06766,119.99093,30.04182,119.99396,30.10948,0.00000,0.00000,0.06773,true,true,false,true
1.01000,119.95226,30.12692,159.75738,120.09967,-0.24262,0.09967,-0.04169,0.01744,-0.01123,-0.04961,119.98273,30.05987,119.99396,30.10948,0.00000,0.00000,0.05086,true,true,false,true
1.02000,119.91204,30.17945,159.52337,120.39984,-0.47663,0.39984,-0.08187,0.06993,-0.02622,-0.02424,119.96774,30.08523,119.99396,30.10948,0.00000,0.00000,0.03571,true,true,false,true
1.03000,119.95829,30.20252,159.79246,120.53167,-0.20754,0.53167,-0.03564,0.09296,-0.02822,0.00062,119.96574,30.11010,119.99396,30.10948,0.00000,0.00000,0.02823,true,true,false,true
1.04000,120.10654,30.10411,160.65501,119.96933,0.65501,-0.03067,0.11249,-0.00536,0.00164,-0.00065,119.99560,30.10883,119.99396,30.10948,0.00000,0.00000,0.00176,true,true,false,true
1.05000,120.04937,30.01478,160.32238,119.45887,0.32238,-0.54113,0.05536,-0.09461,0.01303,-0.02058,120.00700,30.08889,119.99396,30.10948,0.00000,0.00000,0.02436,true,true,false,true
1.06000,120.01440,30.15698,160.11892,120.27144,0.11892,0.27144,0.02043,0.04748,0.01460,-0.00614,120.00856,30.10334,119.99396,30.10948,0.00000,0.00000,0.01584,true,true,false,true
1.07000,119.90251,30.23231,159.46792,120.70190,-0.53208,0.70190,-0.09134,0.12269,-0.00788,0.02119,119.98608,30.13067,119.99396,30.10948,0.00000,0.00000,0.02261,true,true,false,true
1.08000,120.23279,29.95294,161.38955,119.10550,1.38955,-0.89450,0.23841,-0.15627,0.04438,-0.01646,120.03834,30.09302,119.99396,30.10948,0.00000,0.00000,0.04733,true,true,false,true
1.09000,119.99179,30.04041,159.98737,119.60533,-0.01263,-0.39467,-0.00217,-0.06902,0.03450,-0.02761,120.02846,30.08187,119.99396,30.10948,0.00000,0.00000,0.04419,true,true,false,true
1.10000,119.89407,30.03486,159.41882,119.57361,-0.58118,-0.42639,-0.09982,-0.07456,0.00600,-0.03757,119.99996,30.07190,119.99396,30.10948,0.00000,0.00000,0.03805,true,true,false,true
1.11000,119.98627,29.95524,159.95525,119.11864,-0.04475,-0.88136,-0.00768,-0.15401,0.00310,-0.06228,119.99706,30.04720,119.99396,30.10948,0.00000,0.00000,0.06236,true,true,false,true
1.12000,120.00062,29.99750,160.03874,119.36013,0.03874,-0.63987,0.00665,-0.11186,0.00385,-0.07280,119.99782,30.03668,119.99396,30.10948,0.00000,0.00000,0.07290,true,true,false,true
1.13000,119.97209,30.07730,159.87275,119.81613,-0.12725,-0.18387,-0.02186,-0.03217,-0.00160,-0.06418,119.99236,30.04530,119.99396,30.10948,0.00000,0.00000,0.06420,true,true,false,true
1.14000,120.11337,30.10669,160.69474,119.98407,0.69474,-0.01593,0.11931,-0.00279,0.02405,-0.05115,120.01801,30.05833,119.99396,30.10948,0.00000,0.00000,0.05652,true,true,false,true
1.15000,120.13395,30.00419,160.81448,119.39835,0.81448,-0.60165,0.13985,-0.10518,0.04862,-0.06262,120.04258,30.04686,119.99396,30.10948,0.00000,0.00000,0.07928,true,true,false,true
1.16000,120.20123,30.01451,161.20593,119.45733,1.20593,-0.54267,0.20696,-0.09482,0.08222,-0.06945,120.07618,30.04003,119.99396,30.10948,0.00000,0.00000,0.10762,true,true,false,true
1.17000,119.90459,29.97144,159.48002,119.21121,-0.51998,-0.78879,-0.08925,-0.13786,0.04583,-0.08396,120.03979,30.02551,119.99396,30.10948,0.00000,0.00000,0.09566,true,true,false,true
1.18000,119.94578,29.92345,159.71967,118.93698,-0.28033,-1.06302,-0.04810,-0.18570,0.02590,-0.10555,120.01987,30.00393,119.99396,30.09892,0.00000,-1.05550,0.09846,true,true,false,true
1.19000,119.99649,30.11055,160.01471,120.06644,0.01471,0.06644,0.00253,0.01163,0.02094,-0.08069,120.01491,30.01824,119.99396,30.09892,0.00000,0.00000,0.08336,true,true,false,true
1.20000,119.90305,30.17239,159.47106,120.41981,-0.52894,0.41981,-0.09085,0.07342,-0.00278,-0.04799,119.99119,30.05093,119.99396,30.09892,0.00000,0.00000,0.04807,true,true,false,true
1.21000,120.00298,30.01160,160.05247,119.50101,0.05247,-0.49899,0.00901,-0.08725,-0.00027,-0.05632,119.99369,30.04260,119.99396,30.09892,0.00000,0.00000,0.05632,true,true,false,true
1.22000,119.91398,30.17296,159.53466,120.42307,-0.46534,0.42307,-0.07992,0.07398,-0.01717,-0.02867,119.97679,30.07025,119.99396,30.09892,0.00000,0.00000,0.03342,true,true,false,true
1.23000,120.14594,29.96460,160.88424,119.23244,0.88424,-0.76756,0.15178,-0.13415,0.01867,-0.05105,120.01264,30.04787,119.99396,30.09892,0.00000,0.00000,0.05436,true,true,false,true
1.24000,119.88260,30.12217,159.35208,120.13284,-0.64792,0.13284,-0.11127,0.02323,-0.00890,-0.03529,119.98506,30.06363,119.99396,30.09892,0.00000,0.00000,0.03640,true,true,false,true
1.25000,120.02439,30.13313,160.17704,120.19547,0.17704,0.19547,0.03042,0.03420,-0.00055,-0.02055,119.99341,30.07837,119.99396,30.09892,0.00000,0.00000,0.02056,true,true,false,true
1.26000,120.05192,30.18984,160.33722,120.51953,0.33722,0.51953,0.05791,0.09084,0.01185,0.00309,120.00581,30.10201,119.99396,30.09892,0.00000,0.00000,0.01224,true,true,false,true
1.27000,119.97543,30.12602,159.89218,120.15484,-0.10782,0.15484,-0.01853,0.02709,0.00540,0.00818,119.99937,30.10710,119.99396,30.09892,0.00000,0.00000,0.00980,true,true,false,true
1.28000,120.07369,30.20676,160.46388,120.61621,0.46388,0.61621,0.07965,0.10773,0.02116,0.02930,120.01512,30.12822,119.99396,30.09892,0.00000,0.00000,0.03614,true,true,false,true
1.29000,119.98519,30.17639,159.94897,120.44267,-0.05103,0.44267,-0.00876,0.07741,0.01481,0.03951,120.00877,30.13843,119.99396,30.09892,0.00000,0.00000,0.04219,true,true,false,true
